shapeID,year,max,mean,min,stdDev,sum
Banja Luka,1992,0.8609898090362549,0.2437469999678433,9.238049387931824E-4,0.2328500881615665,48.74939999356866
Banovići,1992,0.06866954267024994,0.034640346219142276,0.004050903022289276,0.019304278467939702,0.5196051932871342
Berkovići,1992,,,,,0.0
Bihać,1992,,,,,0.0
Bijeljina,1992,5.669308185577393,0.5681921604783425,8.128732442855835E-4,0.8786636054205169,295.3596542439478
Bileća,1992,3.7615325450897217,1.0564766460182993,0.0032145902514457703,1.0720340591550095,46.484972424805164
Bosanska Krupa,1992,,,,,0.0
Bosanski Petrovac,1992,0.01174885779619217,0.01174885779619217,0.01174885779619217,0.0,0.01174885779619217
Bosansko Grahovo,1992,,,,,0.0
Bratunac,1992,1.2547438144683838,0.3479438263441448,0.0011686012148857117,0.3344857002908423,19.67861122955002
Brcko District,1992,,,,,0.0
Breza,1992,,,,,0.0
Brod,1992,0.4001579284667969,0.0640948787492849,0.018774963915348053,0.11256066239853528,0.8128738740203427
Bugojno,1992,,,,,0.0
Busovača,1992,3.3173813819885254,0.9448487910131613,0.023681730031967163,0.9824003762290202,28.34546373039484
Bužim,1992,,,,,0.0
Cazin,1992,,,,,0.0
Centar,1992,,,,,0.0
Derventa,1992,,,,,0.0
Doboj,1992,,,,,0.0
Doboj East,1992,,,,,0.0
Doboj Jug,1992,,,,,0.0
Dobretići,1992,,,,,0.0
Domaljevac-Šamac,1992,,,,,0.0
Donji Vakuf,1992,,,,,0.0
Donji Žabar,1992,,,,,0.0
Drvar,1992,7.514945983886719,2.1826604685108912,0.09045141190290451,1.9450043445958147,82.94109780341387
Fojnica,1992,13.97835922241211,4.276493110294853,0.03040149062871933,4.396276213048313,89.80635531619191
Foča,1992,0.08272391557693481,0.04162554442882538,0.008556008338928223,0.030132964519661323,0.1665021777153015
Foča-Ustikolina,1992,,,,,0.0
Gacko,1992,5.280017375946045,1.2432419111952187,0.017135947942733765,1.3949626886047959,49.72967644780874
Glamoč,1992,,,,,0.0
Goražde,1992,,,,,0.0
Gornji Vakuf-Uskoplje,1992,2.679521083831787,0.9335563270555388,0.0028201714158058167,0.7595079735774032,28.940246138721704
Gradačac,1992,,,,,0.0
Gradiška,1992,0.09901316463947296,0.028391761563523646,3.640800714492798E-4,0.023490010700976133,1.1718560410042604
Gračanica,1992,,,,,0.0
Grude,1992,0.1268136352300644,0.051044265378394356,0.00227491557598114,0.03157511704909238,0.9103894860428923
Hadžići,1992,,,,,0.0
Han Pijesak,1992,,,,,0.0
Ilidža,1992,,,,,0.0
Ilijaš,1992,,,,,0.0
Istočna Ilidža,1992,,,,,0.0
Istočni Drvar,1992,,,,,0.0
Istočni Mostar,1992,,,,,0.0
Istočni Stari Grad,1992,,,,,0.0
Istočno Novo Sarajevo,1992,,,,,0.0
Jablanica,1992,5.834761142730713,1.6803414461990962,0.002001754939556122,1.6851100904258718,43.6888776011765
Jajce,1992,,,,,0.0
Jezero,1992,,,,,0.0
Kakanj,1992,3.6716420650482178,0.8162063904730301,1.582130789756775E-4,0.8508336379605368,212.06322348239084
Kalesija,1992,,,,,0.0
Kalinovik,1992,,,,,0.0
Kiseljak,1992,9.139625549316406,2.53301671401091,5.773231387138367E-4,2.353510507300641,149.15991755916792
Kladanj,1992,,,,,0.0
Ključ,1992,,,,,0.0
Kneževo,1992,,,,,0.0
Konjic,1992,,,,,0.0
Kostajnica,1992,,,,,0.0
Kotor Varoš,1992,,,,,0.0
Kozarska Dubica,1992,,,,,0.0
Kreševo,1992,0.0863373652100563,0.05813494324684143,0.017990387976169586,0.02915233821613814,0.1744048297405243
Kupra na Uni,1992,,,,,0.0
Kupres,1992,,,,,0.0
Kupres (BiH),1992,,,,,0.0
Laktaši,1992,,,,,0.0
Livno,1992,20.238454818725586,2.880690550815095,0.009419836103916168,4.433964601327135,195.88695745542645
Ljubinje,1992,,,,,0.0
Ljubuški,1992,6.4843831062316895,1.6958977729082108,0.019726738333702087,1.7689116286182371,66.14001314342022
Lopare,1992,,,,,0.0
Lukavac,1992,0.8485109210014343,0.1543673016035844,0.0010799169540405273,0.15868780816175182,22.058179356201606
Maglaj,1992,,,,,0.0
Milići,1992,,,,,0.0
Modriča,1992,,,,,0.0
Mostar,1992,,,,,0.0
Mrkonjić Grad,1992,,,,,0.0
Neum,1992,1.0937827825546265,0.3304624717226202,0.02444087713956833,0.32718754791756216,5.733199901572046
Nevesinje,1992,0.15836936235427856,0.08593269002934296,0.00636860728263855,0.04924951040702326,1.0311922803521156
Novi Grad,1992,,,,,0.0
Novi Grad,1992,,,,,0.0
Novi Travnik,1992,0.2640472650527954,0.06973129821161024,0.008299306035041809,0.06931941853696123,2.024395296708042
Novo Sarajevo,1992,,,,,0.0
Odžak,1992,,,,,0.0
Olovo,1992,,,,,0.0
Orašje,1992,0.10469933599233627,0.10469933599233627,0.10469933599233627,0.0,0.07349482801030663
Osmaci,1992,,,,,0.0
Oštra Luka,1992,,,,,0.0
Pale,1992,,,,,0.0
Pale-Prača,1992,,,,,0.0
Pelagićevo,1992,,,,,0.0
Petrovac,1992,,,,,0.0
Petrovo,1992,,,,,0.0
Posušje,1992,7.886532783508301,1.9731504343675845,0.007229410111904144,2.2191786992610907,65.11396433413029
Prijedor,1992,0.5115135312080383,0.13162920162291594,0.0014271661639213562,0.1294422236101473,9.345673315227032
Prnjavor,1992,,,,,0.0
Prozor-Rama,1992,,,,,0.0
Ravno,1992,,,,,0.0
Republika Srpska,1992,1.0430927276611328,0.34794126279078996,0.008463159203529358,0.3004263639084148,9.04647283256054
Ribnik,1992,,,,,0.0
Rogatica,1992,,,,,0.0
Rudo,1992,1.1981722116470337,0.13075780109890425,0.05546987056732178,0.3395153428042006,1.1814351911053937
Sanski Most,1992,,,,,0.0
Sapna,1992,,,,,0.0
Sokolac,1992,,,,,0.0
Srbac,1992,,,,,0.0
Srebrenica,1992,10.846189498901367,1.4307226419143626,0.00907374918460846,2.4978329790112506,33.41719237349782
Srebrenik,1992,4.320708274841309,1.1891786722016746,0.0020596832036972046,1.1482475620146408,68.97236298769712
Stari Grad,1992,,,,,0.0
Stolac,1992,,,,,0.0
Teočak,1992,,,,,0.0
Teslić,1992,,,,,0.0
Tešanj,1992,,,,,0.0
Tomislavgrad,1992,,,,,0.0
Travnik,1992,5.539127826690674,0.4694542408480429,0.0013583451509475708,0.8688126376214296,95.10774720176761
Trebinje,1992,18.324838638305664,2.989033257414121,0.010616771876811981,4.428933035209587,191.29812847450376
Trnovo (BiH),1992,,,,,0.0
Trnovo (RS),1992,,,,,0.0
Tuzla,1992,5.622126579284668,0.4261014337780646,3.1972676515579224E-4,0.7990199215850573,247.63511443767774
Ugljevik,1992,0.45049142837524414,0.17376714432835966,0.002747446298599243,0.13174587431613394,10.487358240052766
